  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:08 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [pool_workqueue_release]
    4 ?        I<     0:00 [kworker/R-rcu_g]
    5 ?        I<     0:00 [kworker/R-rcu_p]
    6 ?        I<     0:00 [kworker/R-slub_]
    7 ?        I<     0:00 [kworker/R-netns]
   12 ?        I<     0:00 [kworker/R-mm_pe]
   13 ?        I      0:00 [rcu_tasks_kthread]
   14 ?        I      0:00 [rcu_tasks_rude_kthread]
   15 ?        I      0:00 [rcu_tasks_trace_kthread]
   16 ?        S      2:07 [ksoftirqd/0]
   17 ?        I      1:19 [rcu_preempt]
   18 ?        S      0:00 [migration/0]
   19 ?        S      0:00 [cpuhp/0]
   20 ?        S      0:00 [cpuhp/1]
   21 ?        S      0:00 [migration/1]
   22 ?        S      2:03 [ksoftirqd/1]
   25 ?        S      0:00 [cpuhp/2]
   26 ?        S      0:00 [migration/2]
   27 ?        S      2:02 [ksoftirqd/2]
   30 ?        S      0:00 [cpuhp/3]
   31 ?        S      0:00 [migration/3]
   32 ?        S      2:03 [ksoftirqd/3]
   39 ?        S      0:00 [kdevtmpfs]
   40 ?        I<     0:00 [kworker/R-inet_]
   42 ?        S      0:00 [kauditd]
   44 ?        S      0:00 [khungtaskd]
   45 ?        S      0:00 [oom_reaper]
   46 ?        I<     0:00 [kworker/R-write]
   47 ?        S      0:36 [kcompactd0]
   48 ?        I<     0:00 [kworker/R-kinte]
   49 ?        I<     0:00 [kworker/R-kbloc]
   50 ?        I<     0:00 [kworker/R-blkcg]
   53 ?        S      0:00 [watchdogd]
   56 ?        I<     0:00 [kworker/R-rpcio]
   57 ?        I<     0:00 [kworker/R-xprti]
   59 ?        S      0:09 [kswapd0]
   60 ?        I<     0:00 [kworker/R-nfsio]
   61 ?        I<     0:00 [kworker/R-kthro]
   63 ?        S      0:00 [hwrng]
   64 ?        I<     0:00 [kworker/R-iscsi]
   65 ?        I<     0:00 [kworker/R-nvme-]
   66 ?        I<     0:00 [kworker/R-nvme-]
   67 ?        I<     0:00 [kworker/R-nvme-]
   68 ?        I<     0:00 [kworker/R-DWC N]
   69 ?        I<     0:00 [kworker/R-uas]
   70 ?        I<     0:11 [kworker/u13:0-brcmf_wq/mmc1:0001:1]
   71 ?        I<     0:00 [kworker/u14:0]
   72 ?        I<     0:00 [kworker/u15:0]
   73 ?        I<     0:00 [kworker/u16:0]
   74 ?        I<     0:00 [kworker/u17:0]
   75 ?        S      0:00 [irq/38-aerdrv]
   76 ?        S      0:00 [irq/44-aerdrv]
   85 ?        I<     0:00 [kworker/R-sdhci]
   86 ?        S      0:00 [irq/167-mmc0]
   88 ?        I<     0:00 [kworker/R-sdhci]
   89 ?        S      0:00 [irq/168-mmc1]
   91 ?        I<     0:00 [kworker/R-mmc_c]
  146 ?        S      0:00 [spi10]
